name,department,profile_link,snippet,num_publications
Catholic University of America Students Participate in Women's March on Washington,Computer Science,https://go.gale.com/ps/i.do?p=AONE&sw=w&issn=&v=2.1&it=r&id=GALE%7CA555934422&sid=googleScholar&linkaccess=abs,"… Catholic feminists are actually very present,"" said Schnappauf,"" the Women's March is America … were Grammy Award winner Alicia Keys, feminist writer and activist Gloria Steinem, and 6…",1
"… Catholic Studies at The Catholic University of America. He is coauthor of nine books and coeditor of four, including American Catholics Today (2007) and …",Computer Science,,,0
"Reform and Authority in the Medieval and Reformation Church. Edited by Guy F. Lytle. Washington, DC: Catholic University of America Press, 1981. xiii+ 337 pp …",Computer Science,https://www.cambridge.org/core/journals/church-history/article/reform-and-authority-in-the-medieval-and-reformation-church-edited-by-lytle-guy-f-washington-dc-catholic-university-of-america-press-1981-xiii-337-pp-2995/91F768936A85E1645420A21BF8EE149E,"… These five papers, together with a transcript of ensuing discussions and authors' concluding responses, stem from a 1977 symposium organized by https://doi. org/10.2307/3166734 …",1
"… Revealed in His Works. Pp. xix+ 186.(Catholic University of America Patristic Studies. Vol. LXIII.) Washington, DC: Catholic University of America Press, 1940. Paper …",Computer Science,https://www.cambridge.org/core/journals/classical-review/article/pando-jose-c-the-life-and-times-of-synesius-of-cyrene-as-revealed-in-his-works-pp-xix-186-catholic-university-of-america-patristic-studies-vol-lxiii-washington-dc-catholic-university-of-america-press-1940-paper-2/B6DB07F3F043ACE32217E416527804EE,"… Nor does the author deal with events of political history, such as the revolt of Gainas, for which … The author is a competent student of history; the matter of his book is reliable, but the style …",1
"Elizabeth Dachowski. First among Abbots: The Career of Abbo of Fleury. Washington, DC: Catholic University of America Press. 2008. Pp. xii, 299. $69.95",Computer Science,https://academic.oup.com/ahr/article-abstract/114/4/1131/21370,AMERICAN HISTORICAL REVIEW OCTOBER 2009 attestation to a single diploma of Robert the Pious does not demonstrate that Abbo now had a place “at the heart of the royal court”: …,1
"Philosophy in the Renaissance: An Anthology. Paul Richard Blum and James G. Snyder, eds. Washington, DC: Catholic University of America Press, 2023. ix+ 382 pp …",Computer Science,https://www.cambridge.org/core/journals/renaissance-quarterly/article/philosophy-in-the-renaissance-an-anthology-paul-richard-blum-and-james-g-snyder-eds-washington-dc-catholic-university-of-america-press-2023-ix-382-pp-3495/538D48C22B07586F9FDBB96302108B97,"Paul Richard Blum and James G. Snyder offer a comprehensive collection of primary texts by twenty-two authors, mainly from the fifteenth and sixteenth centuries. Many of these texts …",1
The idea of a Catholic University,Computer Science,https://go.gale.com/ps/i.do?id=GALE%7CA240185044&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=10475141&p=AONE&sw=w,"… What makes a Catholic university unique is the Catholic intellectual tradition that suffuses its academic work as well as its campus life. In our classrooms at Catholic University, we begin …",1
"… Lists and Guides, I. Edited by Paul Oskar Kristeller.(Union académique internationale). Pp. xxiv+ 250. Washington: Catholic University of America Press, 1960. $7.50.",Computer Science,https://www.cambridge.org/core/journals/journal-of-ecclesiastical-history/article/catalogus-translationum-et-commentariorum-mediaeval-and-renaissance-latin-translations-and-commentaries-annotated-lists-and-guides-i-edited-by-kristeller-paul-oskar-union-academique-internationale-pp-xxiv-250-washington-catholic-university-of-america-press-1960-750/078C7A872330DFCDA310A719F170C295,"… Under each author are … authors writing before AD 600 whose works were available before AD 1600. Quite apart from the incidental information which this volume contains about authors, …",1
"… Murphy. Ruling Peacefully: Cardinal Ercole Gonzaga and Patrician Reform in Sixteenth-Century Italy. Washington, DC: Catholic University of America Press. 2007. Pp …",Computer Science,https://academic.oup.com/ahr/article-abstract/113/4/1262/44528,"Trent his grasp of the theological issues was shaky at best. To Murphy, however, these are just one side of the contradictory values of a patrician reformer. Throughout his life it seems, …",1
"John D. Cotts. The Clerical Dilemma: Peter of Blois and Literate Culture in the Twelfth Century. Washington, DC: Catholic University of America Press. 2009. Pp. xi …",Computer Science,https://academic.oup.com/ahr/article-abstract/115/4/1207/34544,"… This prolific letter writer was originally the focus of a doctoral … employment alternately as a speech writer and a columnist, … the shadow of another great letter writer, Hildebert of Lavardin, …",1
